"studentid","teacher","student_house","teacher_house","grade"
58033488,"Dumbledore","Ravenclaw","Gryffindor",49.77086732641516
58033488,"Snape","Ravenclaw","Slytherin",29.668574348041517
58033488,"Flitwick","Ravenclaw","Ravenclaw",46.067908008266876
58033488,"Lupin","Ravenclaw","Gryffindor",69.5717788900163
58033488,"Sprout","Ravenclaw","Hufflepuff",43.19876340738783
58033488,"Trelawney","Ravenclaw","Ravenclaw",60.468634837500616
58033488,"McGonagall","Ravenclaw","Gryffindor",55.25754117795927
53495092,"Dumbledore","Hufflepuff","Gryffindor",33.849065952715385
53495092,"Snape","Hufflepuff","Slytherin",24.100281325459825
53495092,"Flitwick","Hufflepuff","Ravenclaw",41.24538002310513
53495092,"Lupin","Hufflepuff","Gryffindor",47.65323339878119
53495092,"Sprout","Hufflepuff","Hufflepuff",28.021293924319195
53495092,"Trelawney","Hufflepuff","Ravenclaw",32.901470519674085
53495092,"McGonagall","Hufflepuff","Gryffindor",45.072783499631754
56804630,"Dumbledore","Hufflepuff","Gryffindor",30.78328475461592
56804630,"Snape","Hufflepuff","Slytherin",28.542552966129584
56804630,"Flitwick","Hufflepuff","Ravenclaw",48.74237121472834
56804630,"Lupin","Hufflepuff","Gryffindor",50.7182265257449
56804630,"Sprout","Hufflepuff","Hufflepuff",35.86011383538131
56804630,"Trelawney","Hufflepuff","Ravenclaw",37.95433703668715
56804630,"McGonagall","Hufflepuff","Gryffindor",49.76711147115808
53328009,"Dumbledore","Gryffindor","Gryffindor",54.381254736673384
53328009,"Snape","Gryffindor","Slytherin",36.64048647428904
53328009,"Flitwick","Gryffindor","Ravenclaw",66.7483745045421
53328009,"Lupin","Gryffindor","Gryffindor",74.0453962573349
53328009,"Sprout","Gryffindor","Hufflepuff",57.29887870545897
53328009,"Trelawney","Gryffindor","Ravenclaw",63.369001525643576
53328009,"McGonagall","Gryffindor","Gryffindor",69.405453117329
58340594,"Dumbledore","Gryffindor","Gryffindor",55.30617068630506
58340594,"Snape","Gryffindor","Slytherin",37.363137017502616
58340594,"Flitwick","Gryffindor","Ravenclaw",61.14614412430907
58340594,"Lupin","Gryffindor","Gryffindor",58.97299905016165
58340594,"Sprout","Gryffindor","Hufflepuff",50.33598547060883
58340594,"Trelawney","Gryffindor","Ravenclaw",66.7008951751215
58340594,"McGonagall","Gryffindor","Gryffindor",65.70313286580244
52764519,"Dumbledore","Hufflepuff","Gryffindor",33.951445892459205
52764519,"Snape","Hufflepuff","Slytherin",15.636341783246195
52764519,"Flitwick","Hufflepuff","Ravenclaw",41.563860048751735
52764519,"Lupin","Hufflepuff","Gryffindor",49.72584418836684
52764519,"Sprout","Hufflepuff","Hufflepuff",35.51831845894388
52764519,"Trelawney","Hufflepuff","Ravenclaw",39.533845390046444
52764519,"McGonagall","Hufflepuff","Gryffindor",52.64256514634185
52790317,"Dumbledore","Slytherin","Gryffindor",42.86543901594842
52790317,"Snape","Slytherin","Slytherin",31.894847698627323
52790317,"Flitwick","Slytherin","Ravenclaw",61.841746208056975
52790317,"Lupin","Slytherin","Gryffindor",59.566573178688415
52790317,"Sprout","Slytherin","Hufflepuff",41.12324850553844
52790317,"Trelawney","Slytherin","Ravenclaw",66.01123316524122
52790317,"McGonagall","Slytherin","Gryffindor",70.213835314806
50270408,"Dumbledore","Hufflepuff","Gryffindor",53.5595106169257
50270408,"Snape","Hufflepuff","Slytherin",29.36975230807697
50270408,"Flitwick","Hufflepuff","Ravenclaw",45.50894900166888
50270408,"Lupin","Hufflepuff","Gryffindor",63.62719647136373
50270408,"Sprout","Hufflepuff","Hufflepuff",46.13462630491136
50270408,"Trelawney","Hufflepuff","Ravenclaw",49.929403901570836
50270408,"McGonagall","Hufflepuff","Gryffindor",59.62457986098367
57399828,"Dumbledore","Slytherin","Gryffindor",40.06778943820414
57399828,"Snape","Slytherin","Slytherin",38.43280127598927
57399828,"Flitwick","Slytherin","Ravenclaw",52.29241148009043
57399828,"Lupin","Slytherin","Gryffindor",68.5159554508509
57399828,"Sprout","Slytherin","Hufflepuff",41.30232149769504
57399828,"Trelawney","Slytherin","Ravenclaw",48.9798894497095
57399828,"McGonagall","Slytherin","Gryffindor",54.28290008536658
54134966,"Dumbledore","Slytherin","Gryffindor",57.4145793214394
54134966,"Snape","Slytherin","Slytherin",36.760123198516624
54134966,"Flitwick","Slytherin","Ravenclaw",38.21039744813459
54134966,"Lupin","Slytherin","Gryffindor",60.07393526727033
54134966,"Sprout","Slytherin","Hufflepuff",37.02215301705191
54134966,"Trelawney","Slytherin","Ravenclaw",48.58640713439791
54134966,"McGonagall","Slytherin","Gryffindor",60.26559720369498
52646290,"Dumbledore","Ravenclaw","Gryffindor",88.23565092491745
52646290,"Snape","Ravenclaw","Slytherin",62.78855549160091
52646290,"Flitwick","Ravenclaw","Ravenclaw",86.52335817186521
52646290,"Lupin","Ravenclaw","Gryffindor",93.71889585081912
52646290,"Sprout","Ravenclaw","Hufflepuff",71.5928844887274
52646290,"Trelawney","Ravenclaw","Ravenclaw",91.79649287807094
52646290,"McGonagall","Ravenclaw","Gryffindor",79.68371966330827
50744765,"Dumbledore","Slytherin","Gryffindor",30.007213882052923
50744765,"Snape","Slytherin","Slytherin",29.183994577646086
50744765,"Flitwick","Slytherin","Ravenclaw",37.7615556714507
50744765,"Lupin","Slytherin","Gryffindor",61.6555707476278
50744765,"Sprout","Slytherin","Hufflepuff",22.34678835965013
50744765,"Trelawney","Slytherin","Ravenclaw",42.849358589888126
50744765,"McGonagall","Slytherin","Gryffindor",45.460202864478234
58866257,"Dumbledore","Ravenclaw","Gryffindor",49.004296472758135
