EXP,WKS,OCC,IND,SOUTH,SMSA,MS,FEM,UNION,ED,BLK,LWAGE,YEAR,LOGWKS 
3,32,0,0,1,0,1,0,0,9,0,5.5606800,1,3.4657359 
4,43,0,0,1,0,1,0,0,9,0,5.7203100,2,3.7612001 
5,40,0,0,1,0,1,0,0,9,0,5.9964500,3,3.6888795 
6,39,0,0,1,0,1,0,0,9,0,5.9964500,4,3.6635616 
7,42,0,1,1,0,1,0,0,9,0,6.0614600,5,3.7376696 
8,35,0,1,1,0,1,0,0,9,0,6.1737900,6,3.5553481 
9,32,0,1,1,0,1,0,0,9,0,6.2441700,7,3.4657359 
30,34,1,0,0,0,1,0,0,11,0,6.1633100,1,3.5263605 
31,27,1,0,0,0,1,0,0,11,0,6.2146100,2,3.2958369 
32,33,1,1,0,0,1,0,1,11,0,6.2634000,3,3.4965076 
33,30,1,1,0,0,1,0,0,11,0,6.5439100,4,3.4011974 
34,30,1,1,0,0,1,0,0,11,0,6.6970300,5,3.4011974 
35,37,1,1,0,0,1,0,0,11,0,6.7912200,6,3.6109179 
36,30,1,1,0,0,1,0,0,11,0,6.8156400,7,3.4011974 
6,50,1,1,0,0,1,0,1,12,0,5.6524900,1,3.9120230 
7,51,1,1,0,0,1,0,1,12,0,6.4361500,2,3.9318256 
8,50,1,1,0,0,1,0,1,12,0,6.5482200,3,3.9120230 
9,52,1,1,0,0,1,0,1,12,0,6.6025900,4,3.9512437 
10,52,1,1,0,0,1,0,1,12,0,6.6958000,5,3.9512437 
11,52,1,1,0,0,0,0,1,12,0,6.7787800,6,3.9512437 
12,46,1,1,0,0,0,0,1,12,0,6.8606600,7,3.8286414 
31,52,1,0,0,1,0,1,0,10,1,6.1569800,1,3.9512437 
32,46,1,0,0,1,0,1,0,10,1,6.2383200,2,3.8286414 
33,46,1,0,0,1,0,1,0,10,1,6.3007900,3,3.8286414 
34,49,1,0,0,1,0,1,0,10,1,6.3595700,4,3.8918203 
35,44,1,0,0,1,0,1,0,10,1,6.4692500,5,3.7841896 
