date,total_rev
1/1/2000,34913749
2/1/2000,36005847
3/1/2000,43901516
4/1/2000,41954244
5/1/2000,43168824
6/1/2000,45856363
7/1/2000,47303803
8/1/2000,46457758
9/1/2000,38372644
10/1/2000,41820446
11/1/2000,40712967
12/1/2000,39656140
1/1/2001,37179562
2/1/2001,35784235
3/1/2001,44208143
4/1/2001,42363481
5/1/2001,42517548
6/1/2001,45304289
7/1/2001,48067498
8/1/2001,48579798
9/1/2001,26230752
10/1/2001,33428069
11/1/2001,34035501
12/1/2001,34900093
1/1/2002,32996179
2/1/2002,32587181
3/1/2002,41424662
4/1/2002,38475773
5/1/2002,39908390
6/1/2002,42899467
7/1/2002,45270461
8/1/2002,45415533
9/1/2002,34211925
10/1/2002,39065248
11/1/2002,36348009
12/1/2002,41361303
1/1/2003,36211422
2/1/2003,34148439
3/1/2003,41774564
4/1/2003,39465980
5/1/2003,41001934
6/1/2003,44492972
7/1/2003,48321924
8/1/2003,46982527
9/1/2003,36819820
10/1/2003,41480412
11/1/2003,39333528
12/1/2003,42699596
1/1/2004,38114607
2/1/2004,38575084
3/1/2004,46507739
4/1/2004,45795662
5/1/2004,45350262
6/1/2004,49774219
7/1/2004,52730292
8/1/2004,50816430
9/1/2004,40644161
10/1/2004,45765588
11/1/2004,43561708
12/1/2004,45181080
1/1/2005,41609095
2/1/2005,40114944
3/1/2005,50789921
4/1/2005,47002623
5/1/2005,49016422
6/1/2005,52181786
7/1/2005,55290372
8/1/2005,52510003
9/1/2005,43524915
10/1/2005,45895538
11/1/2005,45109831
12/1/2005,46190194
1/1/2006,42966268
2/1/2006,40927215
3/1/2006,50693391
4/1/2006,48800883
5/1/2006,49302219
6/1/2006,52200272
7/1/2006,54506446
8/1/2006,52074386
9/1/2006,43108587
10/1/2006,47137132
11/1/2006,45966808
12/1/2006,46835639
1/1/2007,43823680
2/1/2007,41270274
3/1/2007,51518429
4/1/2007,49772604
5/1/2007,51031835
6/1/2007,54018698
7/1/2007,56572991
8/1/2007,55682567
9/1/2007,45240435
10/1/2007,49069269
11/1/2007,47256388
12/1/2007,47070645
1/1/2008,44233383
2/1/2008,43429251
3/1/2008,52016986
4/1/2008,48189445
5/1/2008,50259915
6/1/2008,52521313
7/1/2008,54621355
8/1/2008,52643147
9/1/2008,41015590
10/1/2008,44913078
11/1/2008,40578576
12/1/2008,43824845
1/1/2009,39299677
2/1/2009,37640543
3/1/2009,46517762
4/1/2009,45419277
5/1/2009,45980485
6/1/2009,49290282
7/1/2009,52704805
8/1/2009,50467291
9/1/2009,41656740
10/1/2009,44781576
11/1/2009,41573018
12/1/2009,43650676
1/1/2010,40301481
2/1/2010,36997641
3/1/2010,47619593
4/1/2010,45662026
5/1/2010,46953592
6/1/2010,50387612
7/1/2010,53095877
8/1/2010,51439494
9/1/2010,43694606
10/1/2010,47283498
11/1/2010,44351351
12/1/2010,45067193
1/1/2011,41187427
2/1/2011,38285135
3/1/2011,48992222
4/1/2011,46567367
5/1/2011,49026670
6/1/2011,51552209
7/1/2011,54459011
8/1/2011,51570695
9/1/2011,44580293
10/1/2011,46972410
11/1/2011,44780150
12/1/2011,45673434
1/1/2012,41673200
2/1/2012,40440608
3/1/2012,49693743
4/1/2012,47240812
5/1/2012,49075105
6/1/2012,51958870
7/1/2012,54239650
8/1/2012,52870440
9/1/2012,43861218
10/1/2012,46661136
11/1/2012,45148885
12/1/2012,45818788
1/1/2013,42716898
2/1/2013,40360485
3/1/2013,50591941
4/1/2013,47323333
5/1/2013,50124879
6/1/2013,52826890
7/1/2013,54754449
8/1/2013,53123236
9/1/2013,44654218
10/1/2013,47859100
11/1/2013,44420327
12/1/2013,49132874
1/1/2014,43564252
2/1/2014,40543416
3/1/2014,51862090
4/1/2014,49245759
5/1/2014,51524033
6/1/2014,53979800
7/1/2014,56874432
8/1/2014,54640576
9/1/2014,46336551
10/1/2014,50112977
11/1/2014,46352175
12/1/2014,50303173
1/1/2015,45137553
2/1/2015,42248126
3/1/2015,53924946
4/1/2015,51883047
5/1/2015,54255249
6/1/2015,56994808
7/1/2015,60430846
8/1/2015,57819224
9/1/2015,49857958
10/1/2015,54074371
11/1/2015,50913043
12/1/2015,53118963
1/1/2016,48074919
2/1/2016,46460173
3/1/2016,56704006
4/1/2016,53623642
5/1/2016,57131553
6/1/2016,60278335
7/1/2016,62349264
8/1/2016,59282193
9/1/2016,52660648
10/1/2016,55320061
11/1/2016,53280611
12/1/2016,54812269
1/1/2017,50136641
2/1/2017,46484890
3/1/2017,58791439
4/1/2017,56302476
5/1/2017,59016291
6/1/2017,62468978
7/1/2017,65035238
8/1/2017,62520313
9/1/2017,51871588
10/1/2017,58257903
11/1/2017,55883967
12/1/2017,56980320
1/1/2018,51716869
2/1/2018,49452398
3/1/2018,61707206
4/1/2018,59340837
5/1/2018,62580340
6/1/2018,66095689
7/1/2018,69085785
