,individual_id_i,apt_id_j,family_size_i,logsqfeet_j,bath_j,outdoor_j,y_ij
0,0,0,3,5.759642375590577,1,1.4820068121483911,0
1,0,1,3,6.377517128545226,2,1.1783536034358504,0
2,0,2,3,6.043630754432218,2,2.453077540600386,0
3,0,3,3,6.4306964221953224,2,4.675142949408205,1
4,0,4,3,5.27026544220239,1,0.7003695248300663,0
5,0,5,3,6.892686471742062,1,3.043729698518918,0
6,0,6,3,6.7765346656109235,1,2.567320966001672,0
7,0,7,3,6.793050106792108,2,3.3051656530826863,0
8,0,8,3,6.4922346967527504,1,1.919680309142541,0
9,0,9,3,6.604583717715761,2,2.305227640950248,0
10,0,10,3,6.884895304580682,1,1.786127482015151,0
11,0,11,3,6.118909066003353,2,4.207668166477485,0
12,0,12,3,5.871507397630564,1,2.6931050844054085,0
13,0,13,3,6.761053088071505,1,3.6054092706085665,0
14,0,14,3,6.2972673782486375,1,2.6096577968596457,0
15,0,15,3,6.062593039706191,2,3.085974410219384,0
16,0,16,3,6.132612196154492,1,3.871952713019942,0
17,0,17,3,6.241101119314902,1,3.800216699508888,0
18,0,18,3,6.146578119357621,2,4.8804684489528425,0
19,0,19,3,6.643044566544358,2,2.0065514020398276,0
21,1,0,2,5.759642375590577,1,1.4820068121483911,0
22,1,1,2,6.377517128545226,2,1.1783536034358504,0
23,1,2,2,6.043630754432218,2,2.453077540600386,0
24,1,3,2,6.4306964221953224,2,4.675142949408205,0
25,1,4,2,5.27026544220239,1,0.7003695248300663,0
26,1,5,2,6.892686471742062,1,3.043729698518918,0
27,1,6,2,6.7765346656109235,1,2.567320966001672,0
28,1,7,2,6.793050106792108,2,3.3051656530826863,0
29,1,8,2,6.4922346967527504,1,1.919680309142541,0
30,1,9,2,6.604583717715761,2,2.305227640950248,0
31,1,10,2,6.884895304580682,1,1.786127482015151,0
32,1,11,2,6.118909066003353,2,4.207668166477485,0
33,1,12,2,5.871507397630564,1,2.6931050844054085,0
34,1,13,2,6.761053088071505,1,3.6054092706085665,0
35,1,14,2,6.2972673782486375,1,2.6096577968596457,0
36,1,15,2,6.062593039706191,2,3.085974410219384,0
37,1,16,2,6.132612196154492,1,3.871952713019942,0
38,1,17,2,6.241101119314902,1,3.800216699508888,0
39,1,18,2,6.146578119357621,2,4.8804684489528425,1
40,1,19,2,6.643044566544358,2,2.0065514020398276,0
42,2,0,3,5.759642375590577,1,1.4820068121483911,0
43,2,1,3,6.377517128545226,2,1.1783536034358504,0
44,2,2,3,6.043630754432218,2,2.453077540600386,0
45,2,3,3,6.4306964221953224,2,4.675142949408205,0
46,2,4,3,5.27026544220239,1,0.7003695248300663,0
47,2,5,3,6.892686471742062,1,3.043729698518918,0
48,2,6,3,6.7765346656109235,1,2.567320966001672,0
49,2,7,3,6.793050106792108,2,3.3051656530826863,0
50,2,8,3,6.4922346967527504,1,1.919680309142541,0
51,2,9,3,6.604583717715761,2,2.305227640950248,1
52,2,10,3,6.884895304580682,1,1.786127482015151,0
53,2,11,3,6.118909066003353,2,4.207668166477485,0
54,2,12,3,5.871507397630564,1,2.6931050844054085,0
55,2,13,3,6.761053088071505,1,3.6054092706085665,0
56,2,14,3,6.2972673782486375,1,2.6096577968596457,0
57,2,15,3,6.062593039706191,2,3.085974410219384,0
58,2,16,3,6.132612196154492,1,3.871952713019942,0
59,2,17,3,6.241101119314902,1,3.800216699508888,0
60,2,18,3,6.146578119357621,2,4.8804684489528425,0
61,2,19,3,6.643044566544358,2,2.0065514020398276,0
63,3,0,3,5.759642375590577,1,1.4820068121483911,0
64,3,1,3,6.377517128545226,2,1.1783536034358504,0
65,3,2,3,6.043630754432218,2,2.453077540600386,0
66,3,3,3,6.4306964221953224,2,4.675142949408205,0
67,3,4,3,5.27026544220239,1,0.7003695248300663,0
68,3,5,3,6.892686471742062,1,3.043729698518918,0
69,3,6,3,6.7765346656109235,1,2.567320966001672,0
70,3,7,3,6.793050106792108,2,3.3051656530826863,0
71,3,8,3,6.4922346967527504,1,1.919680309142541,0
72,3,9,3,6.604583717715761,2,2.305227640950248,0
73,3,10,3,6.884895304580682,1,1.786127482015151,0
74,3,11,3,6.118909066003353,2,4.207668166477485,0
75,3,12,3,5.871507397630564,1,2.6931050844054085,0
76,3,13,3,6.761053088071505,1,3.6054092706085665,0
