"id","treat.invite","pct.missing","head.edu","mosques","pct.poor","total.budget"
1,0,0.38527447,6,0.908383071,0.400122166,40.56499863
2,1,-0.095748357,14,1.066666722,0.185614854,69.32150269
3,1,0.147719324,12,0.711743772,0.400000006,41.10649872
4,1,-0.182591215,9,0.948991716,0.437936604,17.06200027
5,0,-0.293047667,9,1.623376608,0.312695444,72.08599854
6,1,-0.097363584,9,0.738188982,0.407608688,69.83307648
7,0,-0.12150725,12,1.279590487,0.584598064,82.08950043
8,1,0.117459752,16,1.167250276,0.328367889,56.09465027
9,1,0.179765195,12,0.588235319,0.391304344,58.20650101
10,0,-0.055086557,12,2.05479455,0.32594645,55.86000061
11,0,0.178187564,9,1.093693018,0.228184283,87.07164764
12,1,0.38587606,9,1.157943487,0.222412318,67.96569824
13,0,0.569184363,6,1.090909123,0.306138307,106.1511993
14,1,0.078449145,9,0.863856256,0.544561923,123.6890488
15,0,0.416723192,12,1.450957656,0.70472163,101.3864059
16,1,0.506721139,12,0.785722315,0.3012999,77.93225098
17,1,0.057742011,12,1.020556927,0.471085131,78.2004776
18,1,0.340121359,14,1.151484132,0.392909169,92.52649689
19,0,0.051515583,12,0.758629382,0.230623811,132.7969971
20,1,-0.022527967,12,1.156451344,0.394241422,72.47995758
21,0,0.848597288,9,0.505868077,0.082953513,34.96250153
22,1,0.067731418,9,0.870069623,0.192579508,54.3003006
23,0,0.357197374,12,1.083717108,0.607223451,94.71970367
24,1,0.234837726,12,1.236603498,0.502380967,74.47460175
25,1,0.352210432,12,1.059322,0.79880774,94.94300079
26,0,0.435533732,9,1.381597161,0.467444122,52.25
27,1,0.161281794,12,0.694927037,0.709999979,69.40224457
28,1,1.105558753,9,0.505433381,0.235294119,61.15000153
29,1,0.911931813,12,1.426024914,0.217054263,67.60959625
30,0,0.344675004,12,1.702610612,0.226337448,55.57460022
31,1,0.146761507,12,1.063405514,0.440771341,67.44999695
32,1,0.29804635,12,0.751597166,0.479233235,42.75
33,1,0.450446874,12,0.426348329,0.215517238,57
34,0,0.7631073,12,1.567398071,0.647702396,47.5
35,0,-0.152414143,9,1.001001,0.156576201,111.5439987
36,0,0.035051003,9,0.584453523,0.250222236,112.7399979
37,1,-0.037032343,12,0.660501957,0.233253583,33.47100067
38,1,-0.156247601,9,1.075847268,0.282157689,73.09600067
39,1,-0.039656166,12,0.664893627,0.289256185,47.10400009
40,1,0.072478741,12,0.880088031,0.50999999,66.35977936
41,0,0.408641696,12,0.941176474,0.518304408,44.03876877
42,1,0.005481274,12,2.484191418,0.254867256,58.92289734
43,1,0.01996349,9,1.033324718,0.504322767,72.91458893
44,0,0.252448708,12,0.463606864,0.561312616,51.92947388
45,1,0.65777719,12,2.219140053,0.04460581,77.55277252
46,1,0.066612065,12,1.49840796,0.329554051,73.76274872
47,0,0.502577543,12,0.684072495,0.200170353,76.78564453
48,1,0.033149488,9,1.061571121,0.715982735,76.36195374
49,1,0.991170883,12,0.85605967,0.228129536,56.47370148
50,1,0.108028829,12,0.718132854,0.311614722,45.04840088
51,0,-0.099363692,9,1.034928799,0.369036913,53.75
52,1,0.13646999,14,0.903138399,0.558348298,52.25
53,0,-0.231130362,12,3.13217783,0.379399151,57
